Time(s)	P_load(kW)	P_pv(kW)	P_grid(kW)	ChargeReq(kW)
35.7	100	250	-6.729	143.3
35.8	100	250	-6.684	143.4
35.9	100	250	-6.639	143.4
36	100	250	-6.595	143.4
36.1	100	250	-6.551	143.5
36.2	100	250	-6.507	143.5
36.3	100	250	-6.463	143.6
36.4	100	250	-6.42	143.6
36.5	100	250	-6.377	143.7
36.6	100	250	-6.334	143.7
36.7	100	250	-6.292	143.8
36.8	100	250	-6.25	143.8
36.9	100	250	-6.208	143.8
37	100	250	-6.166	143.9
37.1	100	250	-6.125	143.9
37.2	100	250	-6.084	144
37.3	100	250	-6.043	144
37.4	100	250	-6.003	144
37.5	100	250	-5.963	144.1
37.6	100	250	-5.923	144.1
37.7	100	250	-5.883	144.2
37.8	100	250	-5.844	144.2
37.9	100	250	-5.805	144.2
38	100	250	-5.766	144.3
38.1	100	250	-5.727	144.3
38.2	100	250	-5.689	144.3
38.3	100	250	-5.651	144.4
38.4	100	250	-5.613	144.4
38.5	100	250	-5.575	144.5
38.6	100	250	-5.538	144.5
38.7	100	250	-5.501	144.5
38.8	100	250	-5.464	144.6
38.9	100	250	-5.427	144.6
39	100	250	-5.391	144.6
39.1	100	250	-5.355	144.7
39.2	100	250	-5.319	144.7
39.3	100	250	-5.283	144.8
39.4	100	250	-5.248	144.8
39.5	100	250	-5.213	144.8
39.6	100	250	-5.178	144.9
39.7	100	250	-5.143	144.9
39.8	100	250	-5.109	144.9
39.9	100	250	-5.075	145
40	100	250	-5.041	145
40.1	100	250	-5.007	145
40.2	100	250	-4.973	145.1
40.3	100	250	-4.94	145.1
40.4	100	250	-4.907	145.1
40.5	100	250	-4.874	145.2
40.6	100	250	-4.842	145.2
40.7	100	250	-4.809	145.2
40.8	100	250	-4.777	145.3
40.9	100	250	-4.745	145.3
41	100	250	-4.713	145.3
41.1	100	250	-4.682	145.3
41.2	100	250	-4.65	145.4
41.3	100	250	-4.619	145.4
41.4	100	250	-4.588	145.4
41.5	100	250	-4.557	145.5
41.6	100	250	-4.527	145.5
41.7	100	250	-4.497	145.5
41.8	100	250	-4.466	145.6
41.9	100	250	-4.437	145.6
42	100	250	-4.407	145.6
42.1	100	250	-4.377	145.7
42.2	100	250	-4.348	145.7
42.3	100	250	-4.319	145.7
42.4	100	250	-4.29	145.7
42.5	100	250	-4.261	145.8
42.6	100	250	-4.233	145.8
42.7	100	250	-4.204	145.8
42.8	100	250	-4.176	145.9
42.9	100	250	-4.148	145.9
43	100	250	-4.12	145.9
43.1	100	250	-4.093	145.9
43.2	100	250	-4.065	146
43.3	100	250	-4.038	146
43.4	100	250	-4.011	146
43.5	100	250	-3.984	146
43.6	100	250	-3.958	146.1
43.7	100	250	-3.931	146.1
43.8	100	250	-3.905	146.1
43.9	100	250	-3.879	146.1
44	100	250	-3.853	146.2
44.1	100	250	-3.827	146.2
44.2	100	250	-3.801	146.2
44.3	100	250	-3.776	146.2
44.4	100	250	-3.751	146.3
44.5	100	250	-3.725	146.3
44.6	100	250	-3.7	146.3
44.7	100	250	-3.676	146.3
44.8	100	250	-3.651	146.4
44.9	100	250	-3.627	146.4
45	100	250	-3.602	146.4
45.1	100	250	-3.578	146.4
45.2	100	250	-3.554	146.5
45.3	100	250	-3.53	146.5
45.4	100	250	-3.507	146.5
45.5	100	250	-3.483	146.5
45.6	100	250	-3.46	146.6
45.7	100	250	-3.437	146.6
45.8	100	250	-3.414	146.6
45.9	100	250	-3.391	146.6
46	100	250	-3.368	146.7
46.1	100	250	-3.346	146.7
46.2	100	250	-3.323	146.7
46.3	100	250	-3.301	146.7
46.4	100	250	-3.279	146.7
46.5	100	250	-3.257	146.8
46.6	100	250	-3.235	146.8
46.7	100	250	-3.214	146.8
46.8	100	250	-3.192	146.8
46.9	100	250	-3.171	146.9
47	100	250	-3.149	146.9
47.1	100	250	-3.128	146.9
47.2	100	250	-3.107	146.9
47.3	100	250	-3.087	146.9
47.4	100	250	-3.066	147
47.5	100	250	-3.045	147
47.6	100	250	-3.025	147
47.7	100	250	-3.005	147
47.8	100	250	-2.985	147
47.9	100	250	-2.965	147.1
48	100	250	-2.945	147.1
48.1	100	250	-2.925	147.1
48.2	100	250	-2.905	147.1
48.3	100	250	-2.886	147.1
48.4	100	250	-2.867	147.2
48.5	100	250	-2.847	147.2
48.6	100	250	-2.828	147.2
48.7	100	250	-2.809	147.2
48.8	100	250	-2.791	147.2
48.9	100	250	-2.772	147.2
49	100	250	-2.753	147.3
49.1	100	250	-2.735	147.3
49.2	100	250	-2.717	147.3
49.3	100	250	-2.698	147.3
49.4	100	250	-2.68	147.3
49.5	100	250	-2.662	147.4
49.6	100	250	-2.645	147.4
49.7	100	250	-2.627	147.4
49.8	100	250	-2.609	147.4
49.9	100	250	-2.592	147.4
50	100	250	-2.574	147.4
50.1	100	250	-2.557	147.5
50.2	100	250	-2.54	147.5
50.3	100	250	-2.523	147.5
50.4	100	250	-2.506	147.5
50.5	100	250	-2.489	147.5
50.6	100	250	-2.473	147.5
50.7	100	250	-2.456	147.6
50.8	100	250	-2.44	147.6
50.9	100	250	-2.423	147.6
51	100	250	-2.407	147.6
51.1	100	250	-2.391	147.6
51.2	100	250	-2.375	147.6
51.3	100	250	-2.359	147.7
51.4	100	250	-2.343	147.7
51.5	100	250	-2.328	147.7
51.6	100	250	-2.312	147.7
51.7	100	250	-2.297	147.7
51.8	100	250	-2.281	147.7
51.9	100	250	-2.266	147.7
52	100	250	-2.251	147.8
52.1	100	250	-2.236	147.8
52.2	100	250	-2.221	147.8
52.3	100	250	-2.206	147.8
52.4	100	250	-2.191	147.8
52.5	100	250	-2.176	147.8
52.6	100	250	-2.162	147.9
52.7	100	250	-2.147	147.9
52.8	100	250	-2.133	147.9
52.9	100	250	-2.119	147.9
53	100	250	-2.104	147.9
53.1	100	250	-2.09	147.9
53.2	100	250	-2.076	147.9
53.3	100	250	-2.062	148
53.4	100	250	-2.049	148
53.5	100	250	-2.035	148
53.6	100	250	-2.021	148
53.7	100	250	-2.008	148
53.8	100	250	-1.994	148
53.9	100	250	-1.994	148
54	100	250	-1.994	148
54.1	100	250	-1.994	148
54.2	100	250	-1.994	148
54.3	100	250	-1.994	148
54.4	100	250	-1.994	148
54.5	100	250	-1.994	148
54.6	100	250	-1.994	148
54.7	100	250	-1.994	148
54.8	100	250	-1.994	148
54.9	100	250	-1.994	148
55	100	250	-1.994	148
55.1	100	250	-1.994	148
55.2	100	250	-1.994	148
55.3	100	250	-1.994	148
55.4	100	250	-1.994	148
55.5	100	250	-1.994	148
55.6	100	250	-1.994	148
55.7	100	250	-1.994	148
55.8	100	250	-1.994	148
55.9	100	250	-1.994	148
56	100	250	-1.994	148
56.1	100	250	-1.994	148
56.2	100	250	-1.994	148
56.3	100	250	-1.994	148
56.4	100	250	-1.994	148
56.5	100	250	-1.994	148
56.6	100	250	-1.994	148
56.7	100	250	-1.994	148
56.8	100	250	-1.994	148
56.9	100	250	-1.994	148
57	100	250	-1.994	148
57.1	100	250	-1.994	148
57.2	100	250	-1.994	148
57.3	100	250	-1.994	148
57.4	100	250	-1.994	148
57.5	100	250	-1.994	148
57.6	100	250	-1.994	148
57.7	100	250	-1.994	148
57.8	100	250	-1.994	148
57.9	100	250	-1.994	148
58	100	250	-1.994	148
58.1	100	250	-1.994	148
58.2	100	250	-1.994	148
58.3	100	250	-1.994	148
58.4	100	250	-1.994	148
58.5	100	250	-1.994	148
58.6	100	250	-1.994	148
58.7	100	250	-1.994	148
58.8	100	250	-1.994	148
58.9	100	250	-1.994	148
59	100	250	-1.994	148
59.1	100	250	-1.994	148
59.2	100	250	-1.994	148
59.3	100	250	-1.994	148
59.4	100	250	-1.994	148
59.5	100	250	-1.994	148
59.6	100	250	-1.994	148
59.7	100	250	-1.994	148
59.8	100	250	-1.994	148
59.9	100	250	-1.994	148
60	100	250	-1.994	148
60.1	100	250	-1.994	148
60.2	100	250	-1.994	148
