Time_s,Load_kW,P_grid_kW,P_bat_kW,A_window_kW,P_req_kW,en,comm,alarm
20.700,200.000,200.000,0.000,200.000,0.000,1,0,0
20.800,200.000,200.000,0.000,200.000,0.000,1,0,0
20.900,200.000,200.000,0.000,200.000,0.000,1,0,0
21.000,200.000,200.000,0.000,200.000,0.000,1,0,0
21.100,200.000,200.000,0.000,200.000,0.000,1,0,0
21.200,200.000,200.000,0.000,200.000,0.000,1,0,0
21.300,200.000,200.000,0.000,200.000,0.000,1,0,0
21.400,200.000,200.000,0.000,200.000,0.000,1,0,0
21.500,200.000,200.000,0.000,200.000,0.000,1,0,0
21.600,200.000,200.000,0.000,200.000,0.000,1,0,0
21.700,200.000,200.000,0.000,200.000,0.000,1,0,0
21.800,200.000,200.000,0.000,200.000,0.000,1,0,0
21.900,200.000,200.000,0.000,200.000,0.000,1,0,0
22.000,200.000,200.000,0.000,200.000,0.000,1,0,0
22.100,200.000,200.000,0.000,200.000,0.000,1,0,0
22.200,200.000,200.000,0.000,200.000,0.000,1,0,0
22.300,200.000,200.000,0.000,200.000,0.000,1,0,0
22.400,200.000,200.000,0.000,200.000,0.000,1,0,0
22.500,200.000,200.000,0.000,200.000,0.000,1,0,0
22.600,200.000,200.000,0.000,200.000,0.000,1,0,0
22.700,200.000,200.000,0.000,200.000,0.000,1,0,0
22.800,200.000,200.000,0.000,200.000,0.000,1,0,0
22.900,200.000,200.000,0.000,200.000,0.000,1,0,0
23.000,200.000,200.000,0.000,200.000,0.000,1,0,0
23.100,200.000,200.000,0.000,200.000,0.000,1,0,0
23.200,200.000,200.000,0.000,200.000,0.000,1,0,0
23.300,200.000,200.000,0.000,200.000,0.000,1,0,0
23.400,200.000,200.000,0.000,200.000,0.000,1,0,0
23.500,200.000,200.000,0.000,200.000,0.000,1,0,0
23.600,200.000,200.000,0.000,200.000,0.000,1,0,0
23.700,200.000,200.000,0.000,200.000,0.000,1,0,0
23.800,200.000,200.000,0.000,200.000,0.000,1,0,0
23.900,200.000,200.000,0.000,200.000,0.000,1,0,0
24.000,200.000,200.000,0.000,200.000,0.000,1,0,0
24.100,200.000,200.000,0.000,200.000,0.000,1,0,0
24.200,200.000,200.000,0.000,200.000,0.000,1,0,0
24.300,200.000,200.000,0.000,200.000,0.000,1,0,0
24.400,200.000,200.000,0.000,200.000,0.000,1,0,0
24.500,200.000,200.000,0.000,200.000,0.000,1,0,0
24.600,200.000,200.000,0.000,200.000,0.000,1,0,0
24.700,200.000,200.000,0.000,200.000,0.000,1,0,0
24.800,200.000,200.000,0.000,200.000,0.000,1,0,0
24.900,200.000,200.000,0.000,200.000,0.000,1,0,0
25.000,200.000,200.000,0.000,200.000,0.000,1,0,0
25.100,200.000,200.000,0.000,200.000,0.000,1,0,0
25.200,200.000,200.000,0.000,200.000,0.000,1,0,0
25.300,200.000,200.000,0.000,200.000,0.000,1,0,0
25.400,200.000,200.000,0.000,200.000,0.000,1,0,0
